Brand Name,Only:Accessory/Outerwear/Swimwear/Formalwear/Showroom,Boys,Girls,Organic Y/M/N,Made in the USA Y/N,Price Level (1-5),Pop,Techno/Funk,Indie,Hip Hop,Jazz,Lullaby,Jock Jams
Artimus London,1,0,0,0,0,3,0,0,0,0,0,0,0
ArtWalk,0,0,0,0,0,3,0,0,0,0,0,0,0
ASH,1,-1,-1,0,0,3,0,0,0,0,0,0,0
Ashley Rose,0,1,1,-1,1,2,-1,1,-1,-1,1,-1,-1
Aster Shoes,1,1,1,-1,1,3,0,0,0,0,0,0,0
Aston Martin Boy,0,1,-1,-1,-1,2,-1,1,-1,-1,-1,-1,1
Atelier Barn,0,0,0,0,0,3,0,0,0,0,0,0,0
Atelier Child,0,1,1,-1,-1,3,1,1,-1,-1,-1,1,-1
atelier choux,1,0,0,1,-1,3,0,0,0,0,0,0,0
Atelier Djm,0,1,1,0,0,2,-1,-1,-1,-1,1,-1,-1
Atlanta Mocassin,1,0,0,0,0,3,0,0,0,0,0,0,0
Atsuyo Et Akiko,0,1,1,-1,-1,5,-1,1,-1,-1,-1,-1,-1
Attic,0,1,1,0,-1,3,1,-1,-1,-1,-1,-1,-1
Autumn Cashmere,0,1,1,-1,-1,5,-1,1,-1,-1,1,-1,-1
Aviator Nation,0,1,1,-1,-1,4,1,1,-1,-1,-1,-1,-1
Aya Naya,-1,1,1,-1,-1,3,0,0,0,0,0,0,0
Aygey,0,1,1,-1,-1,3,1,1,-1,-1,1,-1,-1
Aymara,0,1,1,-1,-1,3,1,-1,-1,-1,1,-1,-1
Azul Swimwear</div>,-1,1,1,0,0,3,0,0,0,0,0,0,0
B Box (Bibs),1,0,0,0,0,3,0,0,0,0,0,0,0
B nature,0,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1
B. Nosy,0,0,0,0,0,3,0,0,0,0,0,0,0
b&h</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Ba Ba Bling Kids,0,1,1,-1,1,3,1,-1,-1,-1,1,-1,-1
Babe and Tess,0,0,0,0,0,3,0,0,0,0,0,0,0
Babesta Thread,0,0,0,0,0,3,0,0,0,0,0,0,0
Babiators</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Babidu,0,1,1,-1,-1,3,0,0,0,0,0,0,0
Babou,0,1,1,-1,-1,1,1,1,-1,-1,1,1,1
Babrara Farber,0,-1,1,-1,-1,3,0,0,0,0,0,0,0
Baby,0,0,0,0,0,3,0,0,0,0,0,0,0
Baby & Cie,1,0,0,0,0,3,0,0,0,0,0,0,0
Baby Alpaga,0,1,1,-1,-1,3,-1,-1,-1,-1,-1,1,-1
baby banana,0,0,0,0,0,3,0,0,0,0,0,0,0
Baby Couture,0,1,1,-1,-1,1,1,1,-1,-1,1,-1,-1
Baby CZ,0,1,1,-1,-1,3,1,-1,-1,-1,1,-1,-1
Baby Deedee,0,1,1,-1,-1,2,-1,-1,-1,-1,-1,1,-1
Baby Deer,0,0,0,0,0,3,0,0,0,0,0,0,0
Baby Dior,0,1,1,-1,-1,3,1,-1,-1,-1,1,1,-1
baby elephant ears,1,0,0,-1,-1,3,1,-1,-1,-1,1,1,-1
Baby Gi,0,1,1,0,0,3,0,0,0,0,0,0,0
Baby Graziella,0,1,1,-1,-1,3,-1,-1,-1,-1,1,-1,-1
Baby in Bloom,1,0,0,0,0,3,0,0,0,0,0,0,0
baby jives & co,1,0,0,0,0,3,0,0,0,0,0,0,0
Baby Lulu,0,1,1,-1,-1,2,1,1,-1,-1,-1,-1,-1
Baby Nay,0,1,1,-1,-1,3,1,1,-1,-1,1,1,-1
Baby Noomie,0,1,1,-1,-1,2,1,1,-1,-1,-1,1,-1
Baby On The Go</div>,1,0,0,0,0,3,0,0,0,0,0,0,0
Baby Play,0,1,1,-1,-1,2,1,-1,-1,-1,-1,1,-1
Baby Sara,0,0,0,-1,-1,3,0,0,0,0,0,0,0
Baby Star,0,0,0,0,0,3,0,0,0,0,0,0,0
Baby Steps</div>,0,1,1,-1,-1,2,1,1,-1,-1,-1,1,-1
Baby Threads,0,1,1,-1,-1,2,1,1,-1,-1,1,1,-1
Baby Version Rock,0,0,0,0,0,3,0,0,0,0,0,0,0
baby&taylor,0,1,1,-1,-1,4,1,-1,-1,-1,1,-1,-1
babybling,1,0,0,-1,1,3,0,0,0,0,0,0,0
Babybotte,1,0,0,0,0,3,0,0,0,0,0,0,0
babycottons,0,1,1,-1,-1,2,1,-1,-1,-1,1,1,-1
Babyface</div>,0,1,1,-1,-1,2,1,1,-1,-1,1,-1,-1
BabyLegs,0,1,1,0,-1,2,1,1,-1,-1,-1,1,-1
Babysoy,0,1,1,1,-1,2,1,-1,1,-1,-1,1,-1
BabySprouts & Co,0,1,1,-1,1,2,1,-1,-1,-1,1,-1,-1
bachha essential,0,0,0,0,0,3,0,0,0,0,0,0,0
BADGLEY MISCHKA</div>,1,0,0,0,0,3,0,0,0,0,0,0,0
Bakker Made with Love,0,1,1,-1,-1,3,1,1,-1,-1,-1,-1,-1
Balabala,0,0,0,0,0,3,0,0,0,0,0,0,0
baliene,0,-1,1,-1,-1,2,-1,1,-1,-1,-1,-1,-1
Ballantyne,0,-1,-1,0,0,3,0,0,0,0,0,0,0
Balloon Copenhagen,0,1,1,0,-1,3,-1,1,-1,-1,-1,1,-1
Balu Hooligans,0,0,0,0,0,3,0,0,0,0,0,0,0
Bamboo + Love</div>,0,1,1,1,-1,3,-1,-1,1,-1,1,1,-1
Bamboo Baby,0,1,1,1,-1,3,-1,1,1,-1,1,1,-1
Bandit Kids,0,1,1,0,-1,4,-1,1,1,-1,1,-1,-1
bangbang copenhagen,0,1,1,-1,-1,3,1,1,-1,-1,-1,-1,-1
banwood,0,1,1,-1,-1,3,-1,-1,-1,-1,-1,-1,1
Baobab,0,1,1,0,-1,2,1,1,1,-1,-1,-1,-1
Barbour Kids,0,1,1,-1,-1,3,-1,0,-1,-1,1,-1,-1
Barcelona Brands,0,1,1,-1,-1,3,1,1,-1,-1,1,1,-1
Bardot Junior,0,0,0,0,0,3,0,0,0,0,0,0,0
Barefoot Dreams,0,1,1,-1,-1,4,-1,-1,-1,-1,1,1,-1
Bari Lynn</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Barn of Monkeys,0,1,1,1,-1,2,1,1,1,-1,-1,-1,-1
Barque,0,1,-1,-1,-1,3,-1,-1,-1,-1,1,-1,-1
Be Lucky,0,0,0,0,0,3,0,0,0,0,0,0,0
Bea & Izzy,0,-1,1,-1,-1,4,-1,1,-1,-1,1,-1,-1
Bean's Barcelona,0,1,1,-1,-1,2,1,-1,-1,-1,-1,1,-1
Beau Hudson,0,1,1,-1,-1,2,1,1,-1,-1,-1,-1,-1
Beau Loves,0,1,1,-1,-1,2,1,1,-1,-1,-1,-1,-1
Beau and Rooster,0,0,0,0,0,3,0,0,0,0,0,0,0
Beaufort Bonnet Company,0,1,1,-1,1,2,1,1,-1,-1,1,1,-1
Bebe Bom,0,1,1,0,-1,4,-1,-1,-1,-1,1,1,-1
Bebe Fete,0,1,1,-1,-1,2,-1,1,-1,-1,-1,-1,-1
BEBE GABRIELLE</div>,0,-1,1,-1,-1,3,-1,-1,-1,-1,1,-1,-1
bebe organic,0,1,1,1,-1,2,-1,-1,1,-1,1,-1,-1
Bebe Sweeny</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Bebebo,0,0,0,0,0,3,0,0,0,0,0,0,0
bebemeshi,-1,-1,-1,0,0,3,0,0,0,0,0,0,0
Bebemonde,0,-1,1,0,0,3,0,0,0,0,0,0,0
Bebobio,0,0,0,0,0,3,0,0,0,0,0,0,0
Beep Beep Baby Slings,0,0,0,0,0,3,0,0,0,0,0,0,0
Belcoquet,0,1,1,0,0,3,0,0,0,0,0,0,0
Bella Bliss,-1,1,1,-1,-1,3,-1,-1,1,1,1,1,1
Bella Rose Playwear</div>,0,-1,1,0,1,2,-1,-1,1,-1,1,-1,1
belle chiara,-1,-1,1,0,-1,5,-1,-1,1,-1,1,-1,-1
belle enfant,-1,-1,1,-1,-1,3,0,0,0,0,0,0,0
Belle Threads</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Bellerose,-1,1,1,-1,-1,3,0,0,0,0,0,0,0
Bello Uomo</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
bellusa,0,0,0,0,0,3,0,0,0,0,0,0,0
bellybutton,0,0,0,0,0,3,0,0,0,0,0,0,0
Ben Sherman LKids,0,0,0,0,0,3,0,0,0,0,0,0,0
Bench Kids,0,1,1,-1,1,3,-1,1,-1,-1,-1,-1,-1
Benedita,0,1,1,0,0,3,0,0,0,0,0,0,0
Benetton,-1,1,1,-1,1,1,1,-1,-1,-1,1,-1,-1
Bengh per Principesse,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,-1
bensimon,-1,1,1,-1,-1,3,0,0,0,0,0,0,0
Besos by Kissy Kissy,0,0,0,0,0,3,0,0,0,0,0,0,0
Best of Chums</div>,-1,-1,1,-1,1,3,0,0,0,0,0,0,0
Bestaro</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
bétta,0,0,0,0,0,3,0,0,0,0,0,0,0
Bettlejuice London,0,0,0,0,0,3,0,0,0,0,0,0,0
Bianco Baby,0,1,1,-1,-1,3,-1,-1,-1,-1,1,-1,-1
bibetta,0,0,0,0,0,3,0,0,0,0,0,0,0
BIBI</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Bikkembergs Junior,0,0,0,0,0,3,0,0,0,0,0,0,0
Billie Blush,0,0,0,0,0,3,0,0,0,0,0,0,0
Billy Bandit,0,0,0,0,0,3,0,0,0,0,0,0,0
Biscotti + Kate Mack ,0,0,0,0,0,3,0,0,0,0,0,0,0
Bit'Z Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Blabla Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Blade + Rose,0,0,0,0,0,3,0,0,0,0,0,0,0
Blair and Dave</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Blake Brand,0,1,1,0,-1,3,1,1,-1,1,-1,-1,1
Blauer Jr,0,0,0,0,0,3,0,0,0,0,0,0,0
Bleu Comme Gris,0,0,0,0,0,3,0,0,0,0,0,0,0
Bloch (Dancewear),0,0,0,0,0,3,0,0,0,0,0,0,0
Blossom and Bear (Accessory),0,0,0,0,0,3,0,0,0,0,0,0,0
BLOWFISH MALIBU</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Blu & Blue,0,0,0,0,0,3,0,0,0,0,0,0,0
Blu Pony Vintage,0,0,0,0,0,3,0,0,0,0,0,0,0
Blue Cross,0,0,0,0,0,3,0,0,0,0,0,0,0
Blue Underwear</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Bluebelle,0,0,0,0,0,3,0,0,0,0,0,0,0
Blueport by Le Club</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Blune Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Blush,0,0,0,0,0,3,0,0,0,0,0,0,0
Bo-Bell (shoes),1,0,0,0,0,3,0,0,0,0,0,0,0
Bob and Blossom,0,0,0,0,0,3,0,0,0,0,0,0,0
Bobine Paris,0,0,0,0,0,3,0,0,0,0,0,0,0
Bobo Choses,0,0,0,0,0,3,0,0,0,0,0,0,0
Boboli,0,0,0,0,0,3,0,0,0,0,0,0,0
Bobux (Shoes),1,0,0,0,0,3,0,0,0,0,0,0,0
Bock Copenhagen,0,0,0,0,0,3,0,0,0,0,0,0,0
Bodega International</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Boden,0,0,0,0,0,3,0,0,0,0,0,0,0
Bogs Footwear,0,0,0,0,0,3,0,0,0,0,0,0,0
Bogner Kids (Outerwear),0,0,0,0,0,3,0,0,0,0,0,0,0
bonheur du jour,0,0,0,0,0,3,0,0,0,0,0,0,0
bonnet a pompon,0,0,0,0,0,3,0,0,0,0,0,0,0
Bonnie Baby,0,0,0,0,0,3,0,0,0,0,0,0,0
Bonnie Jean,0,0,0,0,0,3,0,0,0,0,0,0,0
Bonpoint,0,0,0,0,0,3,0,0,0,0,0,0,0
Bonton,0,0,0,0,0,3,0,0,0,0,0,0,0
Boo!,0,1,1,0,-1,3,-1,1,1,1,-1,-1,-1
Boody Baby,0,0,0,0,0,3,0,0,0,0,0,0,0
BooFooWoo,0,0,0,0,0,3,0,0,0,0,0,0,0
BOOGIE BEAR</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
booginhead,0,0,0,0,0,3,0,0,0,0,0,0,0
Books to Bed,0,0,0,0,0,3,0,0,0,0,0,0,0
Bora Bora Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Born Bespoke (shoes),1,0,0,0,0,3,0,0,0,0,0,0,0
Borsalino (Hats),0,0,0,0,0,3,0,0,0,0,0,0,0
Borxz,0,0,0,0,0,3,0,0,0,0,0,0,0
Boss,0,0,0,0,0,3,0,0,0,0,0,0,0
Bottleblond Jewels</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Bouquetta,0,0,0,0,0,3,0,0,0,0,0,0,0
bow,0,0,0,0,0,3,0,0,0,0,0,0,0
Bowie X James</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Bows and Beaus</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Bows Arts</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Bowtique,0,0,0,0,0,3,0,0,0,0,0,0,0
boy+girl,0,0,0,0,0,3,0,0,0,0,0,0,0
Boys&Girls,0,0,0,0,0,3,0,0,0,0,0,0,0
Boy London,0,0,0,0,0,3,0,0,0,0,0,0,0
Braveling,0,0,0,0,0,3,0,0,0,0,0,0,0
Breganwood,0,0,0,0,0,3,0,0,0,0,0,0,0
Briati</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Britt,0,0,0,0,0,3,0,0,0,0,0,0,0
Brooklyn Industries,0,0,0,0,0,3,0,0,0,0,0,0,0
Brti Chic Signature,0,0,0,0,0,3,0,0,0,0,0,0,0
Bryony and Co (CA),0,0,0,0,0,3,0,0,0,0,0,0,0
Buck & Cook,0,0,0,0,0,3,0,0,0,0,0,0,0
BuddingSTEM,0,0,0,0,0,3,0,0,0,0,0,0,0
Buho,0,0,0,0,0,3,0,0,0,0,0,0,0
Buisjes en Beugels BB+++,0,0,0,0,0,3,0,0,0,0,0,0,0
Bullabaloo (Bedding),1,0,0,0,0,3,0,0,0,0,0,0,0
Bundgaard,0,0,0,0,0,3,0,0,0,0,0,0,0
Bunk Junk</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Bunny &Hare</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Burberry,0,0,0,0,0,3,0,0,0,0,0,0,0
Burts Bees,0,0,0,0,0,3,0,0,0,0,0,0,0
Busy Bees,0,0,0,0,0,3,0,0,0,0,0,0,0
Butter Super Soft,0,0,0,0,0,3,0,0,0,0,0,0,0
Butterflies and Zebras,0,0,0,0,0,3,0,0,0,0,0,0,0
Butterscotch Kidz,0,0,0,0,0,3,0,0,0,0,0,0,0
buube,0,0,0,0,0,3,0,0,0,0,0,0,0
C & C California,0,0,0,0,0,3,0,0,0,0,0,0,0
Cabana Life,0,0,0,0,0,3,0,0,0,0,0,0,0
Cacharel,0,0,0,0,0,3,0,0,0,0,0,0,0
Cachcach,0,0,0,0,0,3,0,0,0,0,0,0,0
Cadet Seven,0,0,0,0,0,3,0,0,0,0,0,0,0
Caffe d'Orzo,0,0,0,0,0,3,0,0,0,0,0,0,0
CakeWalk,0,0,0,0,0,3,0,0,0,0,0,0,0
Californian Vintage</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Calla Collection USA</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
cam cam copenhagen,0,0,0,0,0,3,0,0,0,0,0,0,0
Camper Kids,0,0,0,0,0,3,0,0,0,0,0,0,0
Canada Goose,0,0,0,0,0,3,0,0,0,0,0,0,0
Candy Pink,0,0,0,0,0,3,0,0,0,0,0,0,0
Caramel Au Sucre</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Caramel Baby & Child,0,0,0,0,0,3,0,0,0,0,0,0,0
Carbon Soldier,0,0,0,0,0,3,0,0,0,0,0,0,0
Carbone,0,0,0,0,0,3,0,0,0,0,0,0,0
Carite,0,0,0,0,0,3,0,0,0,0,0,0,0
carlie grace,0,0,0,0,0,3,0,0,0,0,0,0,0
Carlijn,0,0,0,0,0,3,0,0,0,0,0,0,0
carlomagno,0,0,0,0,0,3,0,0,0,0,0,0,0
Carmen Tabener,0,0,0,0,0,3,0,0,0,0,0,0,0
Caroline Bosmans,0,0,0,0,0,3,0,0,0,0,0,0,0
Carrement Beau,0,0,0,0,0,3,0,0,0,0,0,0,0
casilda y jimena,0,0,0,0,0,3,0,0,0,0,0,0,0
Cataleya,0,0,0,0,0,3,0,0,0,0,0,0,0
Caterbury of NZ,0,0,0,0,0,3,0,0,0,0,0,0,0
Catimini ,0,0,0,0,0,3,0,0,0,0,0,0,0
Cavalier,0,0,0,0,0,3,0,0,0,0,0,0,0
CeCeCo,0,0,0,0,0,3,0,0,0,0,0,0,0
CeLaVi,0,0,0,0,0,3,0,0,0,0,0,0,0
Chaboukie,0,0,0,0,0,3,0,0,0,0,0,0,0
Chach Beachwear</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
chakra design studio,0,0,0,0,0,3,0,0,0,0,0,0,0
Chalk of the Town</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Chandamama,0,1,1,-1,-1,1,1,1,-1,-1,1,-1,-1
Chantique&#039;s Corp.</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Charabia,-1,-1,1,0,0,3,0,0,0,0,0,0,0
Charlie and Gus,-1,-1,1,1,-1,3,0,0,0,0,0,0,0
charm,0,0,0,0,0,3,0,0,0,0,0,0,0
Chaser Kids,-1,1,1,0,0,3,0,0,0,0,0,0,0
Chasing Fireflies,-1,1,1,0,0,3,0,0,0,0,0,0,0
Cheeky Banana,-1,-1,1,0,0,3,0,0,0,0,0,0,0
Cheeky Little Soles,-1,1,1,0,0,3,0,0,0,0,0,0,0
Cheeky Plum,-1,-1,1,0,0,3,0,0,0,0,0,0,0
Cheeky Rascal</div>,0,0,0,0,0,3,0,0,0,0,0,0,0
Cherie,1,0,0,0,0,3,0,0,0,0,0,0,0
